name,country_iso2,date,latency_p20,latency_p50,latency_p80,download_p20,download_p50,download_p80,upload_p20,upload_p50,upload_p80,download,upload,latencyMs,iso_a2
Missouri,US,202507,34.91212844848633,29.70871925354004,26.38011741638184,105.6023406982422,183.9046936035156,262.7210998535156,13.814844131469728,19.573436737060547,26.435155868530277,183.9046936035156,19.573436737060547,29.70871925354004,US
Montana,US,202507,33.11033248901367,28.27677726745605,25.14801979064941,109.2109375,191.0539093017578,273.18438720703125,16.50390625,22.3828125,29.87019157409668,191.0539093017578,22.3828125,28.27677726745605,US
Nebraska,US,202507,26.906723022460938,24.67029190063477,23.0146427154541,205.4039001464844,279.45001220703125,338.6656188964844,18.4609375,25.252344131469727,35.715545654296875,279.45001220703125,25.252344131469727,24.67029190063477,US
Nevada,US,202507,25.95578384399414,23.452524185180664,21.542255401611328,216.72265625,288.97265625,350.2359313964844,19.814062118530277,27.305469512939453,35.90546798706055,288.97265625,27.305469512939453,23.452524185180664,US
New Hampshire,US,202507,28.28582191467285,25.397815704345703,23.502901077270508,170.36093139648438,254.4562530517578,321.4906311035156,16.978124618530273,23.392969131469727,32.177345275878906,254.4562530517578,23.392969131469727,25.397815704345703,US
New Jersey,US,202507,31.05490493774414,26.71242904663086,24.23141098022461,159.5476531982422,240.9867248535156,309.8617248535156,15.638280868530272,21.818750381469727,30.494531631469727,240.9867248535156,21.818750381469727,26.71242904663086,US
New Mexico,US,202507,29.8101749420166,26.18807411193848,24.002700805664062,181.6929626464844,256.74530029296875,323.38360595703125,17.403905868530273,23.48046875,31.575780868530277,256.74530029296875,23.48046875,26.18807411193848,US
New York,US,202507,30.91892433166504,26.763219833374023,24.14533042907715,147.6843719482422,230.6125030517578,301.9046936035156,15.086718559265137,20.79296875,29.206249237060547,230.6125030517578,20.79296875,26.763219833374023,US
North Carolina,US,202507,38.68449401855469,30.47930908203125,26.59896278381348,69.40547180175781,154.98202514648438,237.6968688964844,12.252344131469728,18.095312118530277,24.994531631469727,154.98202514648438,18.095312118530277,30.47930908203125,US
North Dakota,US,202507,34.48505783081055,28.773683547973636,25.50558090209961,145.86953735351562,221.0070343017578,306.2593688964844,17.954687118530273,23.998437881469727,32.795310974121094,221.0070343017578,23.998437881469727,28.773683547973636,US
Ohio,US,202507,33.781593322753906,28.7346248626709,25.78242492675781,103.5960922241211,173.5109405517578,241.5187530517578,12.87419891357422,18.671092987060547,25.462499618530277,173.5109405517578,18.671092987060547,28.7346248626709,US
Oklahoma,US,202507,33.108646392822266,28.334266662597656,25.64606666564941,106.9898452758789,185.4031219482422,263.58905029296875,13.792187690734863,19.455469131469727,26.735937118530277,185.4031219482422,19.455469131469727,28.334266662597656,US
Oregon,US,202507,31.37529563903809,26.43916320800781,23.75164604187012,138.09140014648438,230.4562530517578,310.85076904296875,17.928125381469727,24.168750762939453,32.67890548706055,230.4562530517578,24.168750762939453,26.43916320800781,US
Pennsylvania,US,202507,31.97449111938477,27.24350357055664,24.666019439697266,119.6070327758789,194.5015563964844,266.32501220703125,13.844531059265137,19.771875381469727,27.143749237060547,194.5015563964844,19.771875381469727,27.24350357055664,US
Rhode Island,US,202507,26.974210739135746,24.396982192993164,22.812707901000977,212.8953094482422,288.9820251464844,348.49688720703125,18.944530487060547,25.596094131469727,35.025001525878906,288.9820251464844,25.596094131469727,24.396982192993164,US
South Carolina,US,202507,38.21696853637695,30.990297317504883,26.82366371154785,90.6156234741211,175.61093139648438,260.50701904296875,12.899218559265137,18.38671875,25.366405487060547,175.61093139648438,18.38671875,30.990297317504883,US
South Dakota,US,202507,26.55230712890625,23.849279403686523,22.19235038757324,191.1421813964844,265.3265686035156,330.58673095703125,20.967967987060547,28.8203125,38.021095275878906,265.3265686035156,28.8203125,23.849279403686523,US
Tennessee,US,202507,38.99516296386719,31.51023292541504,26.67530632019043,88.1202621459961,164.8640594482422,240.7234344482422,12.165624618530272,17.601762771606445,24.520313262939453,164.8640594482422,17.601762771606445,31.51023292541504,US
Texas,US,202507,37.2505111694336,30.023155212402344,26.39357185363769,88.03593444824219,167.73828125,250.140625,12.642969131469728,18.198436737060547,25.009374618530277,167.73828125,18.198436737060547,30.023155212402344,US
Utah,US,202507,24.69590377807617,22.505083084106445,21.18950080871582,223.0023498535156,296.65313720703125,355.4429626464844,19.701562881469727,27.257030487060547,36.13671875,296.65313720703125,27.257030487060547,22.505083084106445,US
Vermont,US,202507,29.547231674194336,26.306665420532227,24.115297317504883,146.82730102539062,229.0453186035156,298.98126220703125,17.14453125,22.970312118530277,30.694530487060547,229.0453186035156,22.970312118530277,26.306665420532227,US
Virginia,US,202507,34.20657730102539,28.5900993347168,25.45981216430664,87.43046569824219,166.7429656982422,243.3625030517578,13.198437690734863,19.032894134521484,25.76171875,166.7429656982422,19.032894134521484,28.5900993347168,US
Washington,US,202507,35.96942901611328,29.80292510986328,26.096023559570312,65.5570297241211,147.01718139648438,231.91015625,14.12109375,19.81330108642578,26.467967987060547,147.01718139648438,19.81330108642578,29.80292510986328,US
West Virginia,US,202507,34.06199264526367,28.54089736938477,25.27210807800293,93.4273452758789,165.51718139648438,235.95703125,12.551562309265137,18.357372283935547,25.450780868530277,165.51718139648438,18.357372283935547,28.54089736938477,US
Wisconsin,US,202507,33.29758834838867,28.2659969329834,25.15233421325684,91.6117172241211,173.7585906982422,255.3500061035156,15.048437118530272,20.609375,27.6328125,173.7585906982422,20.609375,28.2659969329834,US
Wyoming,US,202507,24.730438232421875,22.681930541992188,21.369792938232425,219.1937561035156,289.86328125,348.9375,19.76953125,27.236719131469727,37.17499923706055,289.86328125,27.236719131469727,22.681930541992188,US
